Group	Codon_freq	Foreground_Species	Background_Species	ω_value_M0	lnL_M0	np_M0	ω_value_branch_neutral_foreground	ω_value_branch_neutral_background	lnL_bneutral	np_bneutral	ω_value_branchfree_foreground	ω_value_branchfree_background	lnL_bfree	np_bfree	pvalm0_bfree	pavalbne_bfree
Afrotheria	F1x4	Chrysochloris_asiatica	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.34063	-4045.391148	19	1	0.33089	-4053.423626	19	0.36469	0.33686	-4045.34553	20	0.762611679182204	5.83275785057242E-05
Afrotheria	F3x4	Chrysochloris_asiatica	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.23351	-3965.200906	19	1	0.21892	-3975.635541	19	0.28983	0.22547	-3964.77491	20	0.355989420796976	3.15277485542325E-06
Afrotheria	F1x4	Dugong_dugon	Heterohyrax_brucei,Procavia_capensis,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.34063	-4045.391148	19	1	0.34167	-4046.785631	19	0.19945	0.34252	-4045.208462	20	0.545537795755729	0.075725400253344
Afrotheria	F3x4	Dugong_dugon	Heterohyrax_brucei,Procavia_capensis,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.23351	-3965.200906	19	1	0.23399	-3967.322085	19	0.15306	0.23462	-3965.083713	20	0.628290575099004	0.034359119618511
Afrotheria	F1x4	Echinops_telfairi	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Elephantulus_edwardii,Orycteropus_afer	0.34063	-4045.391148	19	1	0.3475	-4062.058699	19	0.29674	0.35148	-4045.108659	20	0.452261455270826	5.80163143329849E-09
Afrotheria	F3x4	Echinops_telfairi	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Elephantulus_edwardii,Orycteropus_afer	0.23351	-3965.200906	19	1	0.24973	-3998.936042	19	0.16263	0.25331	-3963.387616	20	0.056863554451394	3.40112312240577E-17
Afrotheria	F1x4	Elephantulus_edwardii	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Orycteropus_afer	0.34063	-4045.391148	19	1	0.32208	-4055.329278	19	0.40372	0.32551	-4044.88895	20	0.316249137451899	4.88806031674079E-06
Afrotheria	F3x4	Elephantulus_edwardii	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Orycteropus_afer	0.23351	-3965.200906	19	1	0.23076	-3989.785947	19	0.23112	0.23411	-3965.199274	20	0.954440501832802	2.34312996397667E-12
Afrotheria	F1x4	Elephas_maximus	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.34063	-4045.391148	19	1	0.34186	-4046.34407	19	0.15769	0.34203	-4045.189186	20	0.525069666288545	0.128563237501866
Afrotheria	F3x4	Elephas_maximus	Heterohyrax_brucei,Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.23351	-3965.200906	19	1	0.23394	-3966.344159	19	0.13924	0.23417	-3965.113698	20	0.676216623344649	0.116710256883194
Afrotheria	F1x4	Heterohyrax_brucei	Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.34063	-4045.391148	19	1	0.34276	-4047.16956	19	0.16493	0.34319	-4045.033611	20	0.397764495584172	0.038747627353073
Afrotheria	F3x4	Heterohyrax_brucei	Procavia_capensis,Dugong_dugon,Trichechus_manatus,Loxodonta_africana,Elephas_maximus,Chrysochloris_asiatica,Echinops_telfairi,Elephantulus_edwardii,Orycteropus_afer	0.23351	-3965.200906	19	1	0.23526	-3968.163246	19	0.1038	0.23566	-3964.72227	20	0.327875153774491	0.00870704198414
