Codon	Partition	alpha	beta_plus	p_plus	LRT	pValue	Species
							Rhea_americana
54	1	0.000	11.373	1.000	4.619	0.0909	Rhea_americana
129	1	0.000	39.996	1.000	5.717	0.0909	Rhea_americana
139	1	0.000	4.673	1.000	0.248	0.0909	Rhea_americana
145	1	0.000	24.752	1.000	3.095	0.0909	Rhea_americana
153	1	0.000	11.280	1.000	4.621	0.0909	Rhea_americana
154	1	0.000	12.191	1.000	4.857	0.0909	Rhea_americana
155	1	1.164	30.975	1.000	3.356	0.0909	Rhea_americana
225	1	5.006	10.688	1.000	0.246	0.0909	Rhea_americana
229	1	0.000	9.738	1.000	2.943	0.0909	Rhea_americana
241	1	0.000	9.753	1.000	3.499	0.0909	Rhea_americana
306	1	0.000	4727.454	1.000	3.897	0.0909	Rhea_americana
308	1	1.355	14.121	1.000	2.033	0.0909	Rhea_americana
