Codon	Partition	alpha	beta_plus	p_plus	LRT	pValue	Species
							Hyaena_hyaena
116	1	6.317	15.415	1.000	0.170	0.0909	Hyaena_hyaena
128	1	0.634	8.240	1.000	2.244	0.0909	Hyaena_hyaena
130	1	0.000	4.609	1.000	2.658	0.0909	Hyaena_hyaena
230	1	0.614	8.232	1.000	2.319	0.0909	Hyaena_hyaena
243	1	0.000	9.831	1.000	3.950	0.0909	Hyaena_hyaena
269	1	0.000	3.467	1.000	0.623	0.0909	Hyaena_hyaena
326	1	0.000	4.379	1.000	0.244	0.0909	Hyaena_hyaena
425	1	0.000	17.180	1.000	7.475	0.0909	Hyaena_hyaena
434	1	0.000	12.272	1.000	5.032	0.0909	Hyaena_hyaena
